"MKZ";"AJvon";"AJbis";"Minimum";"Maximum";"Spannweite";"Steigung";"Korrelationskoeffizient";"Bestimmtheitsmaß";"Netzart";"Anzahl Fehljahre";"Anzahl unvollst. AJ";"Anzahl vollst. AJ";"GRIMM-STRELE";"GWK";"GWK25"
"43420001";2024;2025;109,39;109,68;0,29;-0,2221095;-0,992;0,984;"OMD 1, EZS 365";"Fehljahre: 2024";1;1;-76,5894827586207;"DESN_VM-1-3";"DESN_VM-1-3"
"43420059";1995;2000;104,55;104,96;0,41;-0,0093647;-0,196;0,039;"ohne 0";"Fehljahre: 2000";1;5;-2,28407317073171;"DEST_EL-3-1";"DEST_EL-3-1"
"43420066";1995;2000;104,94;105,34;0,4;-0,0045828;-0,067;0,004;"ohne 0";"Fehljahre: 2000";1;5;-1,1457;"DEST_EL-3-1";"DEST_EL-3-1"
"43420072";1995;2025;106,49;107,25;0,76;-0,0040146;-0,277;0,077;"MENGE 365";"Fehljahre:";0;31;-0,528236842105263;"DEST_EL-3-1";"DEST_EL-3-1"
"43425058";1995;1981;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43425059";1995;1981;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43425060";1995;1981;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43425061";1995;1981;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43425066";1995;1981;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_VM-1-3";"DESN_VM-1-3"
"43425068";1995;1981;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43425069";1995;1981;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43425100";1995;2012;114,58;116,12;1,54;0,0069921;0,114;0,013;"ohne 0";"Fehljahre: 2012";1;17;0,454032467532468;"DESN_VM-1-3";"DESN_VM-1-3"
"43425103";1995;2025;112,41;116,89;4,48;-0,0088624;-0,113;0,013;"EZS 24";"Fehljahre:";0;31;-0,197821428571429;"DESN_VM-1-3";"DESN_VM-1-3"
"43425105";1995;2009;112,85;116,01;3,16;-0,0016006;-0,008;0;"ohne 0";"Fehljahre: 2009";1;14;-0,0506518987341772;"DEST_EL-3-1";"DEST_EL-3-1"
"43425106";1995;2009;111,9;114,17;2,27;0,0108581;0,099;0,01;"ohne 0";"Fehljahre: 2009";1;14;0,478330396475771;"DEST_EL-3-1";"DEST_EL-3-1"
"43425107";1995;2022;112,05;119,83;7,78;0,2607023;0,903;0,816;"ohne 0";"Fehljahre: 1995, 2022";2;26;3,3509293059126;"DESN_VM-1-3";"DESN_VM-1-3"
"43425506";2004;2025;113,39;118,48;5,09;0,1529153;0,746;0,557;"EZS 365, UEB 1";"Fehljahre: 2004/2022";19;3;3,00422986247544;"DESN_VM-1-3";"DESN_VM-1-3"
"43429730_1";1995;2019;110,63;113,89;3,26;0,1172177;0,946;0,894;"ohne 0";"Fehljahre: 1995, 2000/2019";21;4;3,59563496932515;"DESN_VM-1-3";"DESN_VM-1-3"
"43429730_2";1995;2019;110,68;115,58;4,9;0,1802074;0,954;0,91;"ohne 0";"Fehljahre: 1995, 2000/2019";21;4;3,67770204081633;"DESN_VM-1-3";"DESN_VM-1-3"
"4342E5100";2016;2025;113,29;114,01;0,72;-0,0140073;-0,187;0,035;"MENGE 48, UEB 1";"Fehljahre: 2016";1;9;-1,94545833333333;"DESN_VM-1-3";"DESN_VM-1-3"
"43430201_1";2005;2025;73,16;77,28;4,12;-0,0529487;-0,355;0,126;"HW_S_DS 365";"Fehljahre: 2005/2006";2;19;-1,28516262135922;"DESN_EL-2-1";"DESN_EL-2-1"
"43435043";1995;1990;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_EL-2-1";"DESN_EL-2-1"
"43435044";1995;1980;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_EL-2-1";"DESN_EL-2-1"
"43435045";1995;1983;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_EL-2-2";"DESN_EL-2-2-1"
"43435072";1995;1981;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43435073";1995;2000;93,83;94,95;1,12;-0,0343955;-0,225;0,051;"ohne 0";"Fehljahre: 2000";1;5;-3,07102678571429;"DEST_EL-3-1";"DEST_EL-3-1"
"43435074";1995;2025;89,32;91,32;2;-0,0184715;-0,465;0,217;"EZS 24";"Fehljahre:";0;31;-0,923575;"DEST_EL-3-1";"DEST_EL-3-1"
"43435075";1995;1990;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43435077";1995;2000;75,36;76,56;1,2;-0,0467632;-0,336;0,113;"ohne 0";"Fehljahre: 2000";1;5;-3,89693333333333;"DEST_EL-3-1";"DEST_EL-3-1"
"43435078";1995;1992;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43435079";1995;1980;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
"43435080";1995;2006;94,91;95,65;0,74;-0,0032535;-0,066;0,004;"ohne 0";"Fehljahre: 2006";1;11;-0,439662162162162;"DEST_EL-3-1";"DEST_EL-3-1"
"43435081";1995;2012;83,77;85,22;1,45;8,08e-05;0,001;0;"ohne 0";"Fehljahre: 2010/2012";3;15;0,00557241379310345;"DEST_EL-3-1";"DEST_EL-3-1"
"43435082";1995;1992;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DEST_EL-3-1";"DEST_EL-3-1"
